permissions,mb_type,unit_id,addr,bit,name,type,default_value,related
R,HR,36,89,"(high byte, low byte)",P2_ClpRtd1Current,Analog,,P2_IA1
R,HR,36,90,"(high byte, low byte)",P2_ClpRtd1Temp,Analog,,P2_IA1
R,HR,36,91,"(high byte, low byte)",P2_ClpRtd2Current,Analog,,P2_IA2
R,HR,36,92,"(high byte, low byte)",P2_ClpRtd2Temp,Analog,,P2_IA2
R,HR,36,93,"(high byte, low byte)",P2_ClpRtd3Current,Analog,,P2_IA3
R,HR,36,94,"(high byte, low byte)",P2_ClpRtd3Temp,Analog,,P2_IA3
R,HR,36,95,"(high byte, low byte)",P2_ClpHighLimit,Analog,,
R,HR,36,96,"(high byte, low byte)",P2_ClpLowLimit,Analog,,
R,HR,36,98,0,P2_ClpRtd0Valid,Digital,1,P2_IA0
R,HR,36,98,1,P2_ClpRtd1Valid,Digital,1,P2_IA1
R,HR,36,98,2,P2_ClpRtd2Valid,Digital,1,P2_IA2
R,HR,36,98,3,P2_ClpRtd3Valid,Digital,1,P2_IA3
R,HR,36,98,5,P2_ClpTemp0NotHigh,Digital,1,
R,HR,36,98,6,P2_ClpTemp1NotHigh,Digital,1,
R,HR,36,98,7,P2_ClpTemp2NotHigh,Digital,1,
R,HR,36,98,8,P2_ClpTemp3NotHigh,Digital,1,
R,HR,36,98,10,P2_ClpTemp0NotLow,Digital,1,
R,HR,36,98,11,P2_ClpTemp1NotLow,Digital,1,
R,HR,36,98,12,P2_ClpTemp2NotLow,Digital,1,
R,HR,36,98,13,P2_ClpTemp3NotLow,Digital,1,
R,HR,36,100,0,P2_ClpTempNotHigh,Digital,1,
R,HR,36,100,1,P2_ClpTempHighFilter,Digital,0,
R,HR,36,100,2,P2_ClpTempHighOkLatch,Digital,1,
R,HR,36,100,3,P2_ClpTempHighOkLatchStatus,DigitalBlink,0,
R,HR,36,100,4,P2_ClpTempHighOkLatchNeedsReset,Digital,0,
R,HR,36,100,5,P2_ResetClpHigh,Digital,0,
R,HR,36,100,6,P2_ClpHeatPermBlock,Digital,0,
R,HR,36,100,7,P2_ClpHeatPermBlockSet,Digital,0,
R,HR,36,100,8,P2_ClpHeatPermBlockReset,Digital,0,
R,HR,36,100,9,P2_ClpHeatPerm,Digital,1,
R,HR,36,100,10,P2_ClpHeatLockLight,Digital,0,
R,HR,36,100,11,P2_ClpHotLight,DigitalBlink,0,
R,HR,36,100,12,P2_APower,Digital,1,
R,HR,36,100,13,P2_BPower,Digital,1,
R,HR,36,102,0,P2_ClpTempNotLow,Digital,1,
R,HR,36,102,1,P2_ClpTempLowFilter,Digital,0,
R,HR,36,102,2,P2_ClpTempLowOkLatch,Digital,1,
R,HR,36,102,3,P2_ClpTempLowOkLatchStatus,DigitalBlink,0,
R,HR,36,102,4,P2_ClpTempLowOkLatchNeedsReset,Digital,0,
R,HR,36,102,5,P2_ResetClpLow,Digital,0,
R,HR,36,102,6,P2_ClpRefPermBlock,Digital,0,
R,HR,36,102,7,P2_ClpRefPermBlockSet,Digital,0,
R,HR,36,102,8,P2_ClpRefPermBlockReset,Digital,0,
R,HR,36,102,9,P2_ClpRefPerm,Digital,1,
R,HR,36,102,10,P2_ClpFrigLockLight,Digital,0,
R,HR,36,102,11,P2_ClpColdLight,DigitalBlink,0,
R,HR,36,102,12,P2_MasterResetButton,Digital,0,
R,HR,36,102,13,P2_MpmActiveLight,Digital,1,
R,HR,36,107,"(high byte, low byte)",P3_CryRtd0Current,Analog,,P3_IA0
R,HR,36,108,"(high byte, low byte)",P3_CryRtd0Temp,Analog,,P3_IA0
R,HR,36,109,"(high byte, low byte)",P3_CryRtd1Current,Analog,,P3_IA1
R,HR,36,110,"(high byte, low byte)",P3_CryRtd1Temp,Analog,,P3_IA1
R,HR,36,111,"(high byte, low byte)",P3_CryRtd2Current,Analog,,P3_IA2
R,HR,36,112,"(high byte, low byte)",P3_CryRtd2Temp,Analog,,P3_IA2
R,HR,36,113,"(high byte, low byte)",P3_CryRtd3Current,Analog,,P3_IA3
R,HR,36,114,"(high byte, low byte)",P3_CryRtd3Temp,Analog,,P3_IA3
R,HR,36,115,"(high byte, low byte)",P3_CryHighLimit,Analog,,
R,HR,36,116,"(high byte, low byte)",P3_CryLowLimit,Analog,,
R,HR,36,118,0,P3_CryRtd0Valid,Digital,1,P3_IA0
R,HR,36,118,1,P3_CryRtd1Valid,Digital,1,P3_IA1
R,HR,36,118,2,P3_CryRtd2Valid,Digital,1,P3_IA2
R,HR,36,118,3,P3_CryRtd3Valid,Digital,1,P3_IA3
R,HR,36,118,5,P3_CryTemp0NotHigh,Digital,1,
R,HR,36,118,6,P3_CryTemp1NotHigh,Digital,1,
R,HR,36,118,7,P3_CryTemp2NotHigh,Digital,1,
R,HR,36,118,8,P3_CryTemp3NotHigh,Digital,1,
R,HR,36,118,10,P3_CryTemp0NotLow,Digital,1,
R,HR,36,118,11,P3_CryTemp1NotLow,Digital,1,
R,HR,36,118,12,P3_CryTemp2NotLow,Digital,1,
R,HR,36,118,13,P3_CryTemp3NotLow,Digital,1,
R,HR,36,120,0,P3_CryTempNotHigh,Digital,1,
R,HR,36,120,1,P3_CryTempHighFilter,Digital,0,
R,HR,36,120,2,P3_CryTempHighOkLatch,Digital,1,
R,HR,36,120,3,P3_CryTempHighOkLatchStatus,DigitalBlink,0,
R,HR,36,120,4,P3_CryTempHighOkLatchNeedsReset,DigitalBlink,0,
R,HR,36,120,5,P3_ResetCryHigh,Digital,0,
R,HR,36,120,6,P3_CryHeatPermBlock,Digital,0,
R,HR,36,120,7,P3_CryHeatPermBlockSet,Digital,0,
R,HR,36,120,8,P3_CryHeatPermBlockReset,Digital,0,
R,HR,36,120,9,P3_CryHeatPerm,Digital,1,
R,HR,36,120,10,P3_CryHeatLockLight,Digital,0,
R,HR,36,120,11,P3_CryHotLight,DigitalBlink,0,
R,HR,36,122,0,P3_CryTempNotLow,Digital,1,
R,HR,36,122,1,P3_CryTempLowFilter,Digital,0,
R,HR,36,122,2,P3_CryTempLowOkLatch,Digital,1,
R,HR,36,122,3,P3_CryTempLowOkLatchStatus,DigitalBlink,0,
R,HR,36,122,4,P3_CryTempLowOkLatchNeedsReset,Digital,0,
R,HR,36,122,5,P3_ResetCryLow,Digital,0,
R,HR,36,122,6,P3_CryRefPermBlock,Digital,0,
R,HR,36,122,7,P3_CryRefPermBlockSet,Digital,0,
R,HR,36,122,8,P3_CryRefPermBlockReset,Digital,0,
R,HR,36,122,9,P3_CryRefPerm,Digital,1,
R,HR,36,122,10,P3_CryFrigLockLight,Digital,0,
R,HR,36,122,11,P3_CryColdLight,DigitalBlink,0,
R,HR,36,122,13,SM_Pluto1_Present,Digital,1,
R,HR,36,122,14,SM_Pluto2_Present,Digital,1,
R,HR,36,122,15,SM_Pluto3_Present,Digital,1,
R,HR,36,124,0,P3_HexVacOk,Digital,1,
R,HR,36,124,1,P3_HexVacOkLatch,Digital,1,
R,HR,36,124,2,P3_HexVacOkLatchStatus,DigitalBlink,0,
R,HR,36,124,3,P3_HexVacOkLatchNeedsReset,Digital,0,
R,HR,36,124,4,P3_ResetHexVac,Digital,0,
R,HR,36,124,5,P3_HexVacBadLight,DigitalBlink,0,
R,HR,36,124,7,P3_CryVacOk,Digital,1,
R,HR,36,124,8,P3_CryVacOkLatch,Digital,1,
R,HR,36,124,9,P3_CryVacOkLatchStatus,DigitalBlink,0,
R,HR,36,124,10,P3_CryVacOkLatchNeedsReset,Digital,0,
R,HR,36,124,11,P3_ResetCryVac,Digital,0,
R,HR,36,124,12,P3_CryVacBadLight,DigitalBlink,0,
R,HR,36,124,13,P3_APower,Digital,1,
R,HR,36,124,14,P3_BPower,Digital,1,
,HR,,,,,Digital,,
,HR,,,,,Digital,,
RW,HR,1,2,0,P1_ResetSmoke_w,Digital,P,
RW,HR,1,2,1,P1_ResetLeak_w,Digital,P,
RW,HR,1,2,2,P1_ResetTemp_w,Digital,P,
RW,HR,1,2,3,P1_RebPowerPermBlockSet_w,Digital,0,
RW,HR,1,2,4,P1_RebPowerPermBlockReset_w,Digital,P,
RW,HR,1,2,5,P1_UtPowerPermBlockSet_w,Digital,0,
RW,HR,1,2,6,P1_UtPowerPermBlockReset_w,Digital,P,
RW,HR,1,2,7,P1_CoolantValveBlockSet_w,Digital,0,
RW,HR,1,2,8,P1_CoolantValveBlockReset_w,Digital,P,
RW,HR,1,5,0,P2_ResetClpHigh_w,Digital,P,
RW,HR,1,5,1,P2_ResetClpLow_w,Digital,P,
RW,HR,1,5,2,P2_ClpHeatPermBlockSet_w,Digital,0,
RW,HR,1,5,3,P2_ClpHeatPermBlockReset_w,Digital,P,
RW,HR,1,5,4,P2_ClpRefPermBlockSet_w,Digital,0,
RW,HR,1,5,5,P2_ClpRefPermBlockReset_w,Digital,P,
RW,HR,1,8,0,P3_ResetCryHigh_w,Digital,P,
RW,HR,1,8,1,P3_ResetCryLow_w,Digital,P,
RW,HR,1,8,2,P3_CryHeatPermBlockSet_w,Digital,0,
RW,HR,1,8,3,P3_CryHeatPermBlockReset_w,Digital,P,
RW,HR,1,8,4,P3_CryRefPermBlockSet_w,Digital,0,
RW,HR,1,8,5,P3_CryRefPermBlockReset_w,Digital,P,
RW,HR,1,8,6,P3_ResetHexVac_w,Digital,P,
RW,HR,1,8,7,P3_ResetCryVac_w,Digital,P,
